test;eff_weat;pval_weat;eff_own;own_bias_mean;own_std;mac;cluster
weat3;0.7346268236212758;0.01;0.7402999131942467;0.1982055509266955;0.12601435213889564;0.07595323173375995;
weat3b;-0.06711586561320751;0.62;-0.06886946957427093;0.2585584554836017;0.12990090889814698;0.09970330409951474;
weat4;0.8178263567137521;0.01;0.8233507819780364;0.2041942042826997;0.12018663663605052;0.07528912611473355;
weat5;0.8203769422755919;0.01;0.8241929710100185;0.1932197068751886;0.11977346473436383;0.06557654941736075;
weat5b;-0.06975437520289243;0.73;-0.07116542346597227;0.25306892573836526;0.13804581069053024;0.09243326957387807;
weat6;-0.04063647043060175;0.64;-0.03700195777336931;0.19487707118318687;0.08728203169296633;0.08236072315150697;
weat6b;0.12655727406845635;0.23;0.1285329902860441;0.2376146356467633;0.1271700121456285;0.09543107722643507;
weat7;0.9086331977974682;0.01;0.912348264290071;0.2201924410526591;0.20672636067971772;0.0827332326607878;
weat7b;-0.8589105130494447;1.0;-0.8650180385102654;0.07132844845268664;0.09407493252779008;0.0682131949415398;
weat8;0.4769556615910086;0.03;0.4793468246336336;0.1452988385815075;0.13744120632307988;0.035586564484050634;
weat8b;-0.3670280819915609;0.99;-0.35496739300796826;0.03285656677573716;0.05115064913576096;0.034510766540279375;
angry_black_woman;0.7978063789257794;0.01;0.8035869095944912;0.3216670641264915;0.1311032856915663;0.1285821687884641;
angry_black_woman2;-0.010836737016991829;0.54;-0.015076129467263525;0.43358234672298795;0.055306987388392445;0.18441904133712145;
double_bind_competent;0.07949613848438682;0.36;0.07562810977759742;0.47602903028835025;0.10863649787564808;0.21987306624907182;
double_bind_likable;0.05664136299641714;0.32;0.06045205948750567;0.5275885341977161;0.12431541083505565;0.24392573804772552;
