test;eff_weat;pval_weat;eff_own;own_bias_mean;own_std;mac;cluster
weat3;0.19065980019202255;0.02;0.1755013693472637;0.5165261713729208;0.3318839823716755;0.42100497907237566;
weat3b;-0.2634118833483711;0.96;-0.26423491051586456;0.11551033749147759;0.059126269051144126;0.1133956919118763;
weat4;0.09881140006846222;0.11;0.08556102417797981;0.5109663805390073;0.32881525564829284;0.40846844893009887;
weat5;0.4340425846356806;0.01;0.24858922944045725;0.3928402851004739;0.21604865817357832;0.46228860235455793;
weat5b;-0.32521695902496944;0.98;-0.31827743638465406;0.2619898823783431;0.04545950589324104;0.11469620403655456;
weat6;-0.29646246354527905;0.98;-0.3009894857946467;0.550172712901472;0.32738728432255204;0.39502701148392855;
weat6b;-0.278110381978251;0.93;-0.27567528785405077;0.33475857516620927;0.21903926315239372;0.22896572714616525;
weat7;-0.4478937491754691;0.97;-0.4530542533157093;0.15993780398355312;0.2042445953074815;0.16998410142292955;
weat7b;-0.5195980826883886;1.0;-0.5192524639224333;0.5296812975038924;0.1687410760941127;0.46864395646044804;
weat8;-0.9403173942496111;1.0;-0.9482266776760662;0.2602022357427262;0.20267769236865937;0.2928626937884949;
weat8b;-0.9081696314328535;1.0;-0.9207233640095244;0.4837760301635772;0.19029653126300936;0.4284028981263151;
angry_black_woman;0.20837353897556898;0.05;0.2255488351410821;0.5263050133785413;0.3119657801387874;0.46041324257793753;
angry_black_woman2;-0.5644283320222764;1.0;-0.5700261058347472;0.35338220541424364;0.2684036489186171;0.18928794196209406;
double_bind_competent;0.33052328743574133;0.04;0.33018056004561047;0.5309221447051751;0.30639423859245896;0.3780941011875048;
double_bind_likable;-0.25084317178359805;0.96;-0.16244485595244634;0.13994138896078898;0.08205145854343776;0.37658822172925827;
