test;eff_weat;pval_weat;eff_own;own_bias_mean;own_std;mac;cluster
weat3;0.1907720325647705;0.02;0.17560807567962888;0.5164606583515813;0.3318739146999087;0.42073288260679936;
weat3b;-0.26368580958198085;0.95;-0.26450662972439165;0.11569232398129371;0.05913475906011881;0.11333098586093956;
weat4;0.09892273336185337;0.19;0.08566989813907079;0.510891433448923;0.32881012767219936;0.4081715723325705;
weat5;0.43382919683826626;0.01;0.24866887747754168;0.3928429924045813;0.21608805919742186;0.46196346937082533;
weat5b;-0.3255031968552479;0.98;-0.3185479119920033;0.2621091326270955;0.045451351620071107;0.11468468310371756;
weat6;-0.2965484150189067;0.98;-0.30107349381913584;0.5500404307345823;0.32730760054659097;0.39475391899857437;
weat6b;-0.2778606627195854;0.93;-0.2754224795331949;0.33466243177904414;0.2190231217953686;0.22882822579840814;
weat7;-0.44841476006459985;0.98;-0.4535928787833113;0.15992494903344398;0.20431742107985226;0.16988899674849356;
weat7b;-0.5198100685704438;1.0;-0.5194763083244858;0.5293057834410181;0.16869134086070955;0.4682875881361948;
weat8;-0.9402770440668905;1.0;-0.9481888115937979;0.25992878781279766;0.2027772148486941;0.292647039167193;
weat8b;-0.9081910648052949;1.0;-0.9207414759171263;0.4834845725891411;0.19024903001943522;0.42810350801255875;
angry_black_woman;0.20840119805856952;0.1;0.22554132766465165;0.5263685727811539;0.31205453753873025;0.46000084597325286;
angry_black_woman2;-0.5645235517333521;0.99;-0.5701228281336979;0.3534265242365669;0.26848070375778516;0.1891383924004203;
double_bind_competent;0.33057071734818366;0.01;0.3302311277649702;0.5308795569185837;0.30636477608189827;0.3777334246094063;
double_bind_likable;-0.25114047501384895;0.9;-0.16218775395343576;0.13920104476337875;0.08167501507913895;0.376236946536566;
