test;eff_weat;pval_weat;eff_own;own_bias_mean;own_std;mac;cluster
weat3;0.2679366729947425;0.01;0.2670349644871678;0.19264793581366724;0.12681341507302735;0.07292680772604483;
weat3b;0.7166292140693752;0.01;0.7183536503399934;0.37922005121016245;0.09600426630442221;0.15957073759066542;
weat4;0.4921748218193316;0.01;0.491142601406217;0.20098942835227734;0.13289543770775936;0.0750815926980678;
weat5;-0.3767410721966088;1.0;-0.38806951026844794;0.16131994151691714;0.1017660444832982;0.075741834982403;
weat5b;-0.6447543127928732;1.0;-0.6568192451686574;0.2669348289249944;0.07278516666864161;0.15742602285673865;
weat6;0.07876289715250576;0.26;0.09012201093130259;0.045743230757092114;0.03776219690950862;0.07338294964476262;
weat6b;0.3155041207305362;0.07;0.31932545806009016;0.04408296426396635;0.032190950783580356;0.060003382535931626;
weat7;0.4769496018445041;0.03;0.48384906415660334;0.04569697380184692;0.04084877479816507;0.05257535846371908;
weat7b;-0.10822951971423979;0.67;-0.10871309448059512;0.1387631387056669;0.09669060532722952;0.05525766164984599;
weat8;-0.2441674813156792;0.9;-0.24539999496344625;0.11818229271983559;0.0901390619032683;0.05913671761973097;
weat8b;0.3107944791229051;0.05;0.31218186464434916;0.14191225240300284;0.09731584840196866;0.05413790679882207;
angry_black_woman;0.4093397290784448;0.01;0.4669150716512347;0.02609354898385857;0.01584003560098355;0.08083184462500001;
angry_black_woman2;0.5013579968421944;0.08;0.3747506932500036;0.02235757731822306;0.016622036951875935;0.07964554449194516;
double_bind_competent;-0.299467502803191;0.96;-0.30084317866982696;0.18819226363516264;0.130804060883937;0.0795026357815627;
double_bind_likable;-0.3031046600365845;0.98;-0.30466830113671967;0.19769167938868404;0.13841515452723607;0.08507517723488828;
